id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa
75367.0,SRI-1989-1-256-1,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 1/6/1989 SRI LANKAN REBELS KILL FIVE OFFICIALS ForWORKING DURING POLL.,military sources,1.0,Kamburupitiya town,Kamburupitiya town,Southern province,Matara district,6.083333,80.566667,POINT (80.566667 6.083333),138762.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-01-05,1989-01-05,5.0,0.0,0.0,0.0,5,5.0,5.0,780.0
77920.0,SRI-1989-1-256-2,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 1/14/1989 SRI LANKAN LEFTIST REBELS PLAN TO DISRUPT PARLIAMENTARY POLL.,military spokesman,1.0,Matara town,Matara town,Southern province,Matara district,5.95,80.533333,POINT (80.533333 5.95),138042.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-01-13,1989-01-13,4.0,0.0,0.0,0.0,4,7.0,4.0,780.0
77714.0,SRI-1989-1-256-3,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 1/30/1989 SRI LANKAN POLL CANDIDATES BANNED FROM CARRYING GUNS AT NIGHT.,police,6.0,Sri Lanka,Sri Lanka,Unknown,Unknown,7.0,81.0,POINT (81 7),140203.0,Sri Lanka,LKA,780.0,Asia,2.0,2.0,1989-01-28,1989-01-29,6.0,0.0,2.0,0.0,8,8.0,8.0,780.0
75382.0,SRI-1989-1-256-4,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 2/9/1989 PRESIDENT ORDERS TIGHT SECURITY AT SRI LANKA'S HOLIEST TEMPLE.,officials,1.0,Kandy town,Kandy town,Central province,Kandy district,7.2955,80.6356,POINT (80.6356 7.2955),140202.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-02-08,1989-02-08,0.0,2.0,2.0,0.0,4,4.0,4.0,780.0
77003.0,SRI-1989-1-256-5,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 2/11/1989 SRI LANKAN TROOPS COMB SOUTHERN JUNGLE ForREBEL ATTACKERS.,senior military officer said.,1.0,Suriyawewa locality,Suriyawewa locality,Southern province,Hambantota district,6.3211,80.9972,POINT (80.9972 6.3211),138762.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-02-09,1989-02-09,2.0,0.0,0.0,0.0,2,2.0,2.0,780.0
75674.0,SRI-1989-1-256-6,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 2/13/1989 SECURITY FORCES ON FULL ALERT ForSRI LANKAN ELECTION.,,1.0,Kurunegala town,Kurunegala town,North Western province,Kurunegala district,7.4863,80.3623,POINT (80.3623 7.4863),140201.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-02-13,1989-02-13,0.0,4.0,0.0,0.0,4,4.0,4.0,780.0
77628.0,SRI-1989-1-256-9,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 3/23/1989 TAMIL REBELS SAY 3O0 KILLED IN INDIAN OFFENSIVE.,Deputy Defence Minister Ranjan Wijeratne,2.0,Meegaswewa village,Meegaswewa (near),North Central province,Polonnaruwa district,8.19551,81.060795,POINT (81.060795 8.19551),141643.0,Sri Lanka,LKA,780.0,Asia,2.0,2.0,1989-03-19,1989-03-22,0.0,0.0,0.0,0.0,0,60.0,0.0,780.0
74973.0,SRI-1989-1-256-8,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 3/20/1989 AT LEAST 50 KILLED IN SRI LANKA IN ONE DAY.,military sources,1.0,Eppawela town,Eppawela town,North Central province,Anuradhapura district,8.1426,80.403,POINT (80.403 8.1426),141641.0,Sri Lanka,LKA,780.0,Asia,2.0,1.0,1989-03-19,1989-03-19,4.0,1.0,0.0,0.0,5,5.0,5.0,780.0
73284.0,SRI-1989-1-256-7,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,Reuters 3/20/1989 AT LEAST 50 KILLED IN SRI LANKA IN ONE DAY.,military sources,1.0,Eppawela town,Eppawela town,North Central province,Anuradhapura district,8.1426,80.403,POINT (80.403 8.1426),141641.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-03-19,1989-03-19,3.0,0.0,0.0,0.0,3,3.0,3.0,780.0
74993.0,SRI-1989-1-256-10,1989,1.0,Clear,1.0,313.0,313.0,Sri Lanka (Ceylon): Government,674.0,674.0,Government of Sri Lanka - JVP,145.0,145.0,Government of Sri Lanka,281.0,281.0,JVP,-1.0,"Reuters 4/5/1989 REBELS KILL SOLDIER, SET FIRE TO OFFICES.",military sources,3.0,Galle district,Galle district,Southern province,Galle district,6.25,80.25,POINT (80.25 6.25),138761.0,Sri Lanka,LKA,780.0,Asia,1.0,1.0,1989-04-05,1989-04-05,1.0,0.0,0.0,0.0,1,1.0,1.0,780.0
